tld,registrar,registrant_country,domain_age,nameserver_domain,mail_domain,tls_age,tls_issuer,url_len,parameters_len,parameters_count,dollar_percent,dash_percent,underscore_percent,dot_percent,plus_percent,exclamation_mark_percent,star_percent,quote_percent,opening_bracket_percent,closing_bracket_percent,comma_percent,numbers_percent,url_entropy,is_redirect,subdomain_count,content_link_count,content_img_count,label
pl,OVH SAS,,4213.0,net.pl,,,,27,0,0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7821222241453065,,4,4.0,1.0,illegitimate
pl,OVH SAS,,4213.0,net.pl,,,,27,0,0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7821222241453065,,4,4.0,1.0,illegitimate
pl,OVH SAS,,4213.0,net.pl,,,,23,0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.849223912390625,,3,4.0,1.0,illegitimate
pl,OVH SAS,,4213.0,net.pl,,,,27,0,0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7821222241453065,,4,4.0,1.0,illegitimate
pl,OVH SAS,,4213.0,net.pl,,,,23,0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.849223912390625,,3,4.0,1.0,illegitimate
pl,OVH SAS,,4213.0,net.pl,,,,27,0,0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7821222241453065,,4,4.0,1.0,illegitimate
pl,OVH SAS,,4213.0,net.pl,,,,23,0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.849223912390625,,3,4.0,1.0,illegitimate
xyz,Namecheap,IS,0.0,cloudflare.com,namecheap.com,,,23,0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.8820451081368628,,3,0.0,0.0,illegitimate
pl,AZ.pl Sp. z o.o.,,4.0,az.pl,az.pl,,,22,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.7544418457133446,,2,4.0,0.0,illegitimate
pl,AZ.pl Sp. z o.o.,,4.0,az.pl,az.pl,,,27,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9582291686698796,,3,4.0,0.0,illegitimate
pl,AZ.pl Sp. z o.o.,,4.0,az.pl,az.pl,,,24,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9701755214643457,,2,4.0,0.0,illegitimate
pl,AZ.pl Sp. z o.o.,,4.0,az.pl,az.pl,,,28,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.039148671903071,,3,4.0,0.0,illegitimate
pl,AZ.pl Sp. z o.o.,,5.0,az.pl,az.pl,,,22,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.7544418457133446,,2,4.0,0.0,illegitimate
pl,AZ.pl Sp. z o.o.,,5.0,az.pl,az.pl,,,26,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.8441065448145375,,3,4.0,0.0,illegitimate
link,"Hostinger, UAB",US,99.0,cloudflare.com,hostinger.com,6.0,E1,33,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9831956342477306,False,3,0.0,13.0,illegitimate
online,Namecheap,IS,9.0,cloudflare.com,namecheap.com,,,30,0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.939572261986723,True,2,0.0,13.0,illegitimate
pl,home.pl S.A.,,0.0,home.pl,,,,34,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.256149238118269,,3,28.0,4.0,illegitimate
pl,home.pl S.A.,,7.0,home.pl,,,,31,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.1313003425053605,,3,28.0,4.0,illegitimate
online,Namecheap,IS,9.0,cloudflare.com,namecheap.com,,,34,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.995715327169053,,3,0.0,13.0,illegitimate
pl,home.pl S.A.,,7.0,home.pl,,,,27,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.060262039120378,,2,28.0,4.0,illegitimate
pl,home.pl S.A.,,0.0,home.pl,,,,30,0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.1898980954642875,,2,28.0,4.0,illegitimate
online,Namecheap,IS,97.0,cloudflare.com,namecheap.com,,,26,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.8441065448145384,,2,1.0,0.0,illegitimate
com,"NameSilo, LLC",US,29.0,cloudflare.com,namesilo.com,,,26,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9500637564362093,,3,0.0,0.0,illegitimate
com,"NameSilo, LLC",US,29.0,cloudflare.com,namesilo.com,,,22,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.8796640049025934,,2,0.0,0.0,illegitimate
space,Namecheap,IS,1.0,cloudflare.com,namecheap.com,,,25,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.6234651896016463,,3,0.0,0.0,illegitimate
space,Namecheap,IS,1.0,cloudflare.com,namecheap.com,,,21,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.4992275417233563,,2,0.0,0.0,illegitimate
online,PDR Ltd. d/b/a PublicDomainRegistry.com,UA,15.0,cloudflare.com,publicdomainregistry.com,,,28,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.994680368408909,,2,0.0,0.0,illegitimate
cfd,"NameSilo, LLC",US,1.0,cloudflare.com,namesilo.com,,,36,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.447702779220089,,3,0.0,0.0,illegitimate
co,1API GmbH,GB,1146.0,cloudflare.com,1api.net,,,38,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.221097250057959,,4,0.0,0.0,illegitimate
top,DDD TECHNOLOGY PTE.LTD,UA,23.0,dns.com,ddd.com,,,28,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8248629576173565,,3,6.0,3.0,illegitimate
shop,Alibaba Cloud Computing Ltd.,CN,51.0,cloudflare.com,service.aliyun.com,,,21,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.6897037321995465,,2,0.0,0.0,illegitimate
pl,MSERWIS Sp.z o.o. sp. k.,,0.0,cloudflare.com,domeny.tv,,,23,0,0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.522711955680758,,4,1.0,0.0,illegitimate
com,PDR Ltd. d/b/a PublicDomainRegistry.com,UA,17.0,cloudflare.com,publicdomainregistry.com,,,19,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.932138039759377,,2,13.0,10.0,illegitimate
online,PDR Ltd. d/b/a PublicDomainRegistry.com,UA,0.0,cloudflare.com,publicdomainregistry.com,,,26,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.642371448743902,,2,2.0,27.0,illegitimate
shop,Alibaba Cloud Computing Ltd.,CN,51.0,cloudflare.com,service.aliyun.com,,,25,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.7834651896016465,,3,0.0,0.0,illegitimate
website,Namecheap,IS,57.0,cloudflare.com,namecheap.com,,,24,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.6216535224393342,,2,42.0,31.0,illegitimate
pl,MSERWIS Sp.z o.o. sp. k.,,0.0,cloudflare.com,domeny.tv,0.0,E1,25,0,0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.5328786893420308,True,4,1.0,0.0,illegitimate
space,CSL Computer Service Langenbach GmbH,DE,17.0,cloudflare.com,joker.com,,,28,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.012188403968661,,2,0.0,0.0,illegitimate
xyz,Namecheap,IS,0.0,cloudflare.com,namecheap.com,,,26,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.9979526986606917,,3,0.0,0.0,illegitimate
com,"NameCheap, Inc.",IS,351.0,cloudflare.com,withheldforprivacy.com,,,29,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.935398667466763,,3,0.0,0.0,illegitimate
